id,input,output
0,"Systemic inflammation, immunity, and nutritional status are closely related to patients’ outcomes in several kinds of cancers. This study aimed to establish a new nomogram based on inflammation-immunity-nutrition score (IINS) to predict the prognosis of extranodal natural killer/T-cell lymphoma (ENKTL) patients.","[{'entity1': 'Systemic inflammation', 'relationship': 'related to', 'entity2': ""patients' outcomes""}, {'entity1': 'Inflammation', 'relationship': 'related to', 'entity2': 'cancers'}, {'entity1': 'Nomogram', 'relationship': 'based on', 'entity2': 'IINS'}, {'entity1': 'IINS', 'relationship': 'predict', 'entity2': 'prognosis'}, {'entity1': 'Extranodal natural killer/T-cell lymphoma', 'relationship': 'predict', 'entity2': 'prognosis'}]"
1,The clinical data of 435 patients with ENTKL were retrospectively reviewed and randomly assigned to training cohort (n=305) and validation cohort (n=131) at a ratio of 7:3. Cox regression analysis was employed to identify independent prognostic factors and develop a nomogram in the training cohort.,"[{'entity1': 'Clinical data', 'relationship': 'reviewed', 'entity2': 'patients'}, {'entity1': 'Patients', 'relationship': 'assigned to', 'entity2': 'training cohort'}, {'entity1': 'Patients', 'relationship': 'assigned to', 'entity2': 'validation cohort'}, {'entity1': 'Cox regression analysis', 'relationship': 'identify', 'entity2': 'prognostic factors'}, {'entity1': 'Nomogram', 'relationship': 'develop', 'entity2': 'training cohort'}]"
2,"Harrell’s concordance index (C-index), calibration curve, receiver operating characteristic (ROC) curve, and decision curve analysis (DCA) curve were employed to assess the performance of the nomogram and compare it with traditional prognostic systems (PINK, IPI, KPI). Internal validation was performed using 1000 bootstrap resamples in the validation cohort.","[{'entity1': 'Harrell’s concordance index', 'relationship': 'assess', 'entity2': 'performance'}, {'entity1': 'Nomogram', 'relationship': 'compare with', 'entity2': 'prognostic systems'}, {'entity1': 'Internal validation', 'relationship': 'performed using', 'entity2': 'bootstrap resamples'}]"
3,Kaplan-Meier survival analyses were conducted to compare the overall survival (OS) of patients in different risk groups.,"[{'entity1': 'Kaplan-Meier survival analyses', 'relationship': 'compare', 'entity2': 'overall survival'}, {'entity1': 'Patients', 'relationship': 'in', 'entity2': 'risk groups'}]"
4,"Meier survival analyses were conducted to compare the overall survival (OS) of patients in different risk groups. Results: In the training cohort, in addition to several classic parameters, IINS was identified as an independent prognostic factor significantly associated with the OS of patients. The nomogram established based on the independent prognostic indicators showed superior survival prediction efficacy, with C-index of 0.733 in the training cohort and 0.759 in the validation cohort compared to the PINK (0.636 and 0.737), IPI (0.81 and 0.707), and KPI (0.693 and 0.639) systems. Furthermore, compared with PINK, IPI, and IPI systems, the nomogram showed relatively superior calibration curves and more powerful prognostic discrimination ability in predicting the OS of patients. DCA curves revealed some advantages in terms of clinical applicability of the nomogram compared to the PINK, IPI, and IPI systems.","[{'entity1': 'IINS', 'relationship': 'prognostic factor', 'entity2': 'Overall survival'}, {'entity1': 'Nomogram', 'relationship': 'established based on', 'entity2': 'Prognostic indicators'}, {'entity1': 'Nomogram', 'relationship': 'showed', 'entity2': 'Survival prediction efficacy'}, {'entity1': 'Nomogram', 'relationship': 'compared to', 'entity2': 'PINK system'}, {'entity1': 'Nomogram', 'relationship': 'compared to', 'entity2': 'IPI system'}, {'entity1': 'Nomogram', 'relationship': 'compared to', 'entity2': 'KPI system'}, {'entity1': 'Nomogram', 'relationship': 'showed', 'entity2': 'Calibration curves'}, {'entity1': 'Nomogram', 'relationship': 'prognostic discrimination ability', 'entity2': 'Predicting overall survival'}, {'entity1': 'DCA curves', 'relationship': 'revealed', 'entity2': 'Advantages in clinical applicability'}]"
5,"Extranodal natural killer/T-cell lymphoma (ENKTL), characterized by malignant proliferation of natural killer cells and cytotoxic T lymphocytes, is a distinctly heterogeneous clinicopathological entity primarily occurring in Asia and South America. In recent years, with the optimization of radiotherapy and L-asparaginase-based chemotherapy regimens, the survival rate of ENKTL patients has markedly improved. However, approximately 50% of patients with advanced-stage ENKTL usually develop relapsed/refractory (r/r) disease, and the outcomes in these populations remain dismal.","[{'entity1': 'ENKTL', 'relationship': 'characterized by', 'entity2': 'Malignant proliferation'}, {'entity1': 'ENKTL', 'relationship': 'occurring in', 'entity2': 'Asia and South America'}, {'entity1': 'Patients', 'relationship': 'develop', 'entity2': 'Relapsed/refractory disease'}, {'entity1': 'Outcomes', 'relationship': 'remain', 'entity2': 'Dismal'}]"
6,High-sensitivity C-reactive protein (hs-CRP) is a critical inflammatory-related protein synthesized by the liver and has been shown to affect patient survival in hepatocellular carcinoma and nasopharyngeal carcinoma.,"[{'entity1': 'High-sensitivity C-reactive protein', 'relationship': 'affect', 'entity2': 'patient survival'}, {'entity1': 'High-sensitivity C-reactive protein', 'relationship': 'synthesized', 'entity2': 'liver'}, {'entity1': 'High-sensitivity C-reactive protein', 'relationship': 'inflammatory-related', 'entity2': 'protein'}]"
7,The levels of serum albumin (ALB) intuitively reflect the nutritional status of individuals and have been confirmed to be an effective tool for predicting the outcomes of patients with gastric cancer and haematological malignancy.,"[{'entity1': 'Serum albumin', 'relationship': 'reflect', 'entity2': 'nutritional status'}, {'entity1': 'Serum albumin', 'relationship': 'predicting', 'entity2': 'outcomes'}, {'entity1': 'Serum albumin', 'relationship': 'effective tool', 'entity2': 'gastric cancer'}]"
8,"The inflammation-immunity-nutrition score (IINS), which reflects hs-CRP, lymphocytes (LYM), and ALB, is considered a superior prognostic evaluation system indicator.","[{'entity1': 'Inflammation-immunity-nutrition score', 'relationship': 'reflects', 'entity2': 'hs-CRP'}, {'entity1': 'Inflammation-immunity-nutrition score', 'relationship': 'considered', 'entity2': 'prognostic evaluation system indicator'}]"
9,The aim of our study was to develop a new nomogram model based on the IINS score and traditional clinical indicators and to evaluate the performance of the evaluation system in predicting the prognosis of patients with ENKTL.,"[{'entity1': 'Study', 'relationship': 'aim', 'entity2': 'develop new nomogram model'}, {'entity1': 'Nomogram model', 'relationship': 'based on', 'entity2': 'IINS score'}, {'entity1': 'Evaluation system', 'relationship': 'predicting', 'entity2': 'prognosis'}]"
