id,input,output
0,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus, and is regarded as an important mechanism in disease pathogenesis. One of the key pathogenetic mechanisms of IR progression is impaired free fatty acid (FFA) metabolism. Plasminogen-activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive protein (CRP), also play a role.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}, {'entity1': 'pathogenesis', 'relationship': 'progression', 'entity2': 'Dyslipidemia'}, {'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
1,"Among proinflammatory cytokines contributing to IR development, the role of interleukin (IL)-6, which has autocrine and paracrine properties and is involved in insulin reception and free fatty acid (FFA) metabolism regulation, has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'Dyslipidemia'}]"
2,"The patients were divided into two groups: group 1 included 95 nondiabetic MI patients, and group 2 enrolled 40 diabetic MI patients. The control group consisted of 30 sex- and age-matched volunteers. Serum IL-6 and CRP levels as well as FFA, glucose, C-peptide, insulin, and plasma PAI-1 concentrations were measured at days 1 and 12 from MI onset.","[{'entity1': 'Group 1', 'relationship': 'included', 'entity2': 'Nondiabetic MI patients'}, {'entity1': 'Group 2', 'relationship': 'enrolled', 'entity2': 'Diabetic MI patients'}, {'entity1': 'Control group', 'relationship': 'consisted of', 'entity2': 'Volunteers'}, {'entity1': 'Serum IL-6 levels', 'relationship': 'measured', 'entity2': 'Days 1 and 12'}, {'entity1': 'Serum CRP levels', 'relationship': 'measured', 'entity2': 'Days 1 and 12'}, {'entity1': 'FFA concentrations', 'relationship': 'measured', 'entity2': 'Days 1 and 12'}]"
3,The study showed that myocardial infarction (MI) is accompanied by an activated inflammatory response and insulin resistance (IR). Strong correlations between interleukin 6 (IL-6) and free fatty acid (FFA) concentrations demonstrate the involvement of nonspecific inflammation factors in IR development in MI patients.,"[{'entity1': 'Myocardial infarction', 'relationship': 'accompanied by', 'entity2': 'Activated inflammatory response'}, {'entity1': 'Myocardial infarction', 'relationship': 'accompanied by', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'correlations with', 'entity2': 'Free fatty acid concentrations'}, {'entity1': 'Interleukin 6', 'relationship': 'involvement in', 'entity2': 'Nonspecific inflammation factors'}, {'entity1': 'Nonspecific inflammation factors', 'relationship': 'development in', 'entity2': 'Insulin resistance'}]"
4,"Insulin resistance is a characteristic feature of type 2 diabetes mellitus (T2DM) and is considered an important stage in its pathogenesis. It is associated with cardiovascular risk factors such as hyperglycemia, dyslipoproteinemia, arterial hypertension, obesity, thrombosis, and smoking.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic feature of', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'associated with', 'entity2': 'Cardiovascular risk factors'}, {'entity1': 'Insulin resistance', 'relationship': 'stage in', 'entity2': 'Pathogenesis'}, {'entity1': 'Type 2 diabetes mellitus', 'relationship': 'associated with', 'entity2': 'Cardiovascular risk factors'}]"
5,"The pathogenetic mechanisms of insulin resistance (IR) development in myocardial infarction (MI) patients are unclear. Activation of local inflammation in the area of atherosclerotic lesion and infarct site with enhanced expression of proinflammatory cytokines like interleukin 6 (IL-6) and acute-phase proteins, including C-reactive protein (CRP), are suggested reasons for IR development.","[{'entity1': 'Insulin resistance', 'relationship': 'development in', 'entity2': 'Myocardial infarction patients'}, {'entity1': 'Inflammation', 'relationship': 'activation in', 'entity2': 'Atherosclerotic lesion'}, {'entity1': 'Inflammation', 'relationship': 'activation in', 'entity2': 'Infarct site'}, {'entity1': 'Proinflammatory cytokines', 'relationship': 'enhanced expression in', 'entity2': 'Atherosclerotic lesion'}, {'entity1': 'Proinflammatory cytokines', 'relationship': 'enhanced expression in', 'entity2': 'Infarct site'}]"
6,"Proinflammatory factors could be involved in IR development in acute coronary events. The detection of a possible association between metabolic changes, indicators, and nonspecific inflammation markers in MI patients, including those with T2DM, can play a role in the choice of treatment strategy in terms of risk stratification in this category of patients.","[{'entity1': 'Proinflammatory factors', 'relationship': 'involved', 'entity2': 'IR development'}, {'entity1': 'Metabolic changes', 'relationship': 'association', 'entity2': 'Nonspecific inflammation markers'}, {'entity1': 'MI patients', 'relationship': 'inclusion', 'entity2': 'T2DM'}]"
7,"This study was aimed at assessing the changing levels of the metabolic proinflammation IR markers IL-6, CRP and PAI-1, and their association with presence or absence of T2DM in MI patients during their hospital stay.","[{'entity1': 'Metabolic proinflammation IR markers', 'relationship': 'levels', 'entity2': 'IL-6'}, {'entity1': 'Metabolic proinflammation IR markers', 'relationship': 'levels', 'entity2': 'CRP'}, {'entity1': 'Metabolic proinflammation IR markers', 'relationship': 'levels', 'entity2': 'PAI-1'}, {'entity1': 'Metabolic proinflammation IR markers', 'relationship': 'association', 'entity2': 'T2DM'}, {'entity1': 'MI patients', 'relationship': 'assessment', 'entity2': 'Metabolic proinflammation IR markers'}]"
8,"A total of 155 MI patients (95 males and 60 females), mean age 65 ± 4.5 years, and 30 sex- and age-matched volunteers (the control group) with no cardiovascular or endocrine diseases were enrolled in the study.","[{'entity1': 'MI patients', 'relationship': 'enrolled', 'entity2': 'Study'}, {'entity1': 'Control group', 'relationship': 'matched', 'entity2': 'Volunteers'}, {'entity1': 'Cardiovascular diseases', 'relationship': 'excluded', 'entity2': 'Control group'}, {'entity1': 'Endocrine diseases', 'relationship': 'excluded', 'entity2': 'Control group'}]"
9,"The main demographic characteristics of the study patients are summarized in Table 1. The patient groups were similar in age, sex, main risk factors of ischemic heart disease, comorbidities, and coronary event incidence.","[{'entity1': 'Demographic characteristics', 'relationship': 'summarized', 'entity2': 'Study patients'}, {'entity1': 'Patient groups', 'relationship': 'similar', 'entity2': 'Age'}, {'entity1': 'Patient groups', 'relationship': 'similar', 'entity2': 'Sex'}, {'entity1': 'Patient groups', 'relationship': 'similar', 'entity2': 'Risk factors'}, {'entity1': 'Patient groups', 'relationship': 'similar', 'entity2': 'Comorbidities'}]"
