id,input,output
0,"Peptidylarginine deiminase (PAD) catalyzes citrullination, a post-translational modification that can alter structure, function and antigenicity of proteins. Citrullination in the lungs due to smoking is believed to initiate an anti-citrulline immune response in rheumatoid arthritis. Citrullination in other inflamed organs has also been demonstrated, but it is not known whether smoking or inflammatory processes in general result in release of relevant amounts of PAD into the circulation with potential to cause citrullination of proteins at various anatomical sites.","[{'entity1': 'Peptidylarginine deiminase', 'relationship': 'catalyzes', 'entity2': 'citrullination'}, {'entity1': 'smoking', 'relationship': 'initiate', 'entity2': 'anti-citrulline immune response'}, {'entity1': 'smoking', 'relationship': 'cause', 'entity2': 'citrullination'}, {'entity1': 'inflammatory processes', 'relationship': 'result in', 'entity2': 'release of PAD into circulation'}]"
1,"Coronary artery bypass grafting (CABG) using cardiopulmonary bypass (CPB) induces an acute systemic inflammation response. In the present study, we investigate whether smoking or acute systemic inflammation causes release of PAD into the circulation.","[{'entity1': 'Coronary artery bypass grafting', 'relationship': 'induces', 'entity2': 'inflammation response'}, {'entity1': 'smoking', 'relationship': 'cause', 'entity2': 'release of PAD into circulation'}, {'entity1': 'acute systemic inflammation', 'relationship': 'cause', 'entity2': 'release of PAD into circulation'}]"
2,"This study included 36 patients with coronary heart disease (16 smokers and 20 non-smokers) undergoing CABG surgery with CPB. Circulating levels of PAD2 and PAD4, PAD activity, the neutrophil activation markers MPO, MMP-9 and lipocalin-2, the cytokines IL-6 and IL-10, and the chemokine CXCL8 were measured 2 hrs preoperatively and 2 hrs postoperatively.","[{'entity1': 'patients', 'relationship': 'undergoing', 'entity2': 'CABG surgery'}, {'entity1': 'CABG surgery', 'relationship': 'using', 'entity2': 'CPB'}, {'entity1': 'neutrophil activation markers', 'relationship': 'measured', 'entity2': 'preoperatively and postoperatively'}, {'entity1': 'cytokines', 'relationship': 'measured', 'entity2': 'preoperatively and postoperatively'}]"
3,"PAD2 levels correlated with neutrophil activation markers, but not with cytokine and chemokine levels.","[{'entity1': 'PAD2', 'relationship': 'correlated with', 'entity2': 'neutrophil activation markers'}, {'entity1': 'PAD2', 'relationship': 'not correlated with', 'entity2': 'cytokine levels'}, {'entity1': 'PAD2', 'relationship': 'not correlated with', 'entity2': 'chemokine levels'}]"
4,PAD2 levels and PAD activity increased in blood during inflammation induced by CABG with CPB.,"[{'entity1': 'PAD2 levels', 'relationship': 'increased during', 'entity2': 'inflammation'}, {'entity1': 'PAD activity', 'relationship': 'increased during', 'entity2': 'inflammation'}, {'entity1': 'inflammation', 'relationship': 'induced by', 'entity2': 'CABG with CPB'}]"
5,"PAD2 levels did not differ significantly between smokers and non-smokers, but smokers had decreased PAD activity in the circulation.","[{'entity1': 'PAD2 levels', 'relationship': 'did not differ between', 'entity2': 'smokers and non-smokers'}, {'entity1': 'smokers', 'relationship': 'had', 'entity2': 'decreased PAD activity'}]"
6,PAD and citrullinated proteins are abundant in the lungs of smokers and are suspected to be the initial source of citrullinated proteins that cause the anti-citrulline immune response involved in RA.,"[{'entity1': 'PAD', 'relationship': 'abundant in', 'entity2': 'lungs of smokers'}, {'entity1': 'PAD', 'relationship': 'suspected to be', 'entity2': 'initial source of citrullinated proteins'}, {'entity1': 'citullinated proteins', 'relationship': 'cause', 'entity2': 'anti-citrulline immune response'}]"
7,"Increased local levels of citrullinated proteins are observed in inflammation. It is not known whether inflammation leads to the release of PAD into the bloodstream, potentially causing citrullination of proteins in circulation or at distant anatomical sites.","[{'entity1': 'Inflammation', 'relationship': 'leads to', 'entity2': 'release of PAD'}, {'entity1': 'PAD', 'relationship': 'causes', 'entity2': 'citrullination of proteins'}, {'entity1': 'Citrullinated proteins', 'relationship': 'occur in', 'entity2': 'inflammation'}]"
8,Coronary artery bypass graft (CABG) surgery with cardiopulmonary bypass (CPB) leads to acute systemic inflammation due to ischemia-reperfusion injury and activation of endothelial cells and neutrophils.,"[{'entity1': 'CABG surgery', 'relationship': 'leads to', 'entity2': 'acute systemic inflammation'}, {'entity1': 'Neutrophils', 'relationship': 'activated by', 'entity2': 'contact with artificial surfaces'}]"
9,"Smoking is investigated for its association with increased levels of circulating PAD2 and PAD4, as well as increased PAD activity. Acute inflammation induced by CABG surgery may lead to the release of enzymatically active PAD into the systemic circulation.","[{'entity1': 'Smoking', 'relationship': 'associated with', 'entity2': 'increased levels of PAD'}, {'entity1': 'CABG surgery', 'relationship': 'induces', 'entity2': 'acute inflammation'}]"
