id,input,output
0,"Chronic inflammation is a pernicious underlying status, well-known for its contribution to the progressive development of various diseases. Micro-immunotherapy (MI) employs low doses (LD) and ultra-low doses (ULD) of immune regulators in their formulations.","[{'entity1': 'Chronic inflammation', 'relationship': 'contribution', 'entity2': 'progressive development'}, {'entity1': 'Micro-immunotherapy', 'relationship': 'employs', 'entity2': 'immune regulators'}, {'entity1': 'Micro-immunotherapy', 'relationship': 'strategy', 'entity2': 'therapeutic'}]"
1,"Two unitary MIM consisting of ultra-low doses (ULD) of IL-1β and TNF-α (u-MIM-1 and u-MIM-2, respectively), and four complex MIM (c-MIM-1, −2, −3 and −4) characterized by the presence of ULD of IL-1β and TNF-α amongst other factors were assessed for their anti-inflammatory effects.","[{'entity1': 'u-MIM-1', 'relationship': 'effects', 'entity2': 'inflamed colon carcinoma cells'}, {'entity1': 'c-MIM-1', 'relationship': 'capability', 'entity2': 'restore altered transepithelial electrical resistance'}, {'entity1': 'c-MIM-1', 'relationship': 'increased', 'entity2': 'expression of claudin-1'}]"
2,"In vitro investigations on c-MIM-2 and c-MIM-3 revealed their immune-modulatory effects in LPS-inflamed human monocytes, macrophages, and granulocytes, on the secretion of cytokines such as TNF-α, PGE2, and IL-6.","[{'entity1': 'c-MIM-2', 'relationship': 'effects', 'entity2': 'LPS-inflamed human monocytes'}, {'entity1': 'c-MIM-3', 'relationship': 'effects', 'entity2': 'LPS-inflamed macrophages'}, {'entity1': 'c-MIM-3', 'relationship': 'effects', 'entity2': 'LPS-inflamed granulocytes'}]"
3,"Our in vitro investigations on c-MIM-2 and c-MIM-3 revealed their immune-modulatory effects in LPS-inflamed human monocytes, macrophages, and granulocytes, on the secretion of cytokines such as TNF-α, PGE2, and IL-6.","[{'entity1': 'c-MIM-2 and c-MIM-3', 'relationship': 'revealed', 'entity2': 'immune-modulatory effects'}, {'entity1': 'c-MIM-2 and c-MIM-3', 'relationship': 'in', 'entity2': 'LPS-inflamed human monocytes'}, {'entity1': 'c-MIM-2 and c-MIM-3', 'relationship': 'in', 'entity2': 'macrophages'}, {'entity1': 'c-MIM-2 and c-MIM-3', 'relationship': 'in', 'entity2': 'granulocytes'}, {'entity1': 'c-MIM-2 and c-MIM-3', 'relationship': 'on', 'entity2': 'secretion'}, {'entity1': 'c-MIM-2 and c-MIM-3', 'relationship': 'of', 'entity2': 'cytokines'}, {'entity1': 'cytokines', 'relationship': 'such as', 'entity2': 'TNF-α'}, {'entity1': 'cytokines', 'relationship': 'such as', 'entity2': 'PGE2'}, {'entity1': 'cytokines', 'relationship': 'such as', 'entity2': 'IL-6'}]"
4,"c-MIM-4 restored the cell viability of LPS/IFN-γ-inflamed rat cortical neurons, while reducing the secretion of TNF-α in rat glial cells.","[{'entity1': 'c-MIM-4', 'relationship': 'restored', 'entity2': 'cell viability'}, {'entity1': 'c-MIM-4', 'relationship': 'of', 'entity2': 'LPS/IFN-γ-inflamed rat cortical neurons'}, {'entity1': 'c-MIM-4', 'relationship': 'while reducing', 'entity2': 'secretion'}, {'entity1': 'c-MIM-4', 'relationship': 'of', 'entity2': 'TNF-α'}, {'entity1': 'TNF-α', 'relationship': 'in', 'entity2': 'rat glial cells'}]"
5,"A therapeutic approach that includes micro-immunotherapy (MI) could thus be of great interest in order to face such concerns. Indeed, MI medicines (MIM) are immune-factor-based medicines, which formulations either encompass a sole active substance (unitary preparations; referred to as u-MIM) or a distinctive combination of several ingredients (complex MIM; referred to as c-MIM).","[{'entity1': 'Micro-immunotherapy', 'relationship': 'includes', 'entity2': 'MI'}, {'entity1': 'MI medicines', 'relationship': 'are', 'entity2': 'immune-factor-based medicines'}, {'entity1': 'formulations', 'relationship': 'encompass', 'entity2': 'sole active substance'}, {'entity1': 'formulations', 'relationship': 'encompass', 'entity2': 'distinctive combination of several ingredients'}]"
6,"These medicines are manufactured in the form of sucrose-lactose pillules impregnated with the corresponding active ingredients, for oromucosal administration, and are intended to be taken in a fasted state.","[{'entity1': 'Medicines', 'relationship': 'manufactured', 'entity2': 'sucrose-lactose pillules'}, {'entity1': 'sucrose-lactose pillules', 'relationship': 'impregnated with', 'entity2': 'active ingredients'}, {'entity1': 'Medicines', 'relationship': 'intended to be taken', 'entity2': 'fasted state'}]"
7,"Through their exclusive preparation, MIM aim at gently modulating the expression and the related signaling pathways of cytokines and immune factors by providing to the organism these molecules at low doses (LD) and ultra-low doses (ULD).","[{'entity1': 'MIM', 'relationship': 'aim at', 'entity2': 'modulating expression and signaling pathways'}, {'entity1': 'MIM', 'relationship': 'providing', 'entity2': 'molecules at low doses and ultra-low doses'}]"
8,"These LD/ULD are expressed in Hahnemannian dilution (CH) or in Korsakovian dilutions (K). LD of bioactive molecules (ranging from 3 to 5 CH) are used in MI formulations to mimic the low doses occurring in the organism, and are employed to induce their own biological effects, stimulating their functions.","[{'entity1': 'LD/ULD', 'relationship': 'expressed in', 'entity2': 'Hahnemannian dilution and Korsakovian dilutions'}, {'entity1': 'LD', 'relationship': 'used in', 'entity2': 'MI formulations'}, {'entity1': 'LD', 'relationship': 'mimic', 'entity2': 'low doses occurring in the organism'}, {'entity1': 'LD', 'relationship': 'employed to induce', 'entity2': 'own biological effects'}]"
9,The anti-inflammatory role of interleukin (IL) 1β and tumor necrosis factor α (TNF-α) at 27 CH has been reported in a model of inflamed-immune cells.,"[{'entity1': 'Interleukin 1β', 'relationship': 'anti-inflammatory role', 'entity2': 'inflamed-immune cells'}, {'entity1': 'Tumor necrosis factor α', 'relationship': 'anti-inflammatory role', 'entity2': 'inflamed-immune cells'}]"
