id,input,output
0,"This study aimed to evaluate the diagnostic value of the different Complete blood count-derived systemic inflammation indexes, including neutrophil-to-lymphocyte ratio (NLR), platelet-to-lymphocyte ratio (PLR), systemic immune-inflammation index (SII), and neutrophil to lymphocyte × platelet ratio (NLPR) in differential diagnosing the chronic calculus cholecystitis (CCC) and the acute calculus cholecystitis (ACC), as well as determining the severity of ACC.","[{'entity1': 'Complete blood count', 'relationship': 'derived', 'entity2': 'systemic inflammation indexes'}, {'entity1': 'NLR', 'relationship': 'included in', 'entity2': 'systemic inflammation indexes'}, {'entity1': 'PLR', 'relationship': 'included in', 'entity2': 'systemic inflammation indexes'}, {'entity1': 'SII', 'relationship': 'included in', 'entity2': 'systemic inflammation indexes'}, {'entity1': 'NLPR', 'relationship': 'included in', 'entity2': 'systemic inflammation indexes'}, {'entity1': 'CCC', 'relationship': 'differential diagnosing', 'entity2': 'chronic calculus cholecystitis'}, {'entity1': 'ACC', 'relationship': 'differential diagnosing', 'entity2': 'acute calculus cholecystitis'}, {'entity1': 'ACC', 'relationship': 'determining severity', 'entity2': 'ACC'}]"
1,"The levels of NLR, PLR, SII, and NLPR were significantly higher in the ACC group compared to the CCC group. The optimal cutoff values for NLR, PLR, SII, and NLPR were determined to be 3.89, 144.7, 896.8, and 0.031 respectively.","[{'entity1': 'NLR', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'PLR', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'SII', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'NLPR', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'NLR', 'relationship': 'optimal cutoff value', 'entity2': '3.89'}, {'entity1': 'PLR', 'relationship': 'optimal cutoff value', 'entity2': '144.7'}, {'entity1': 'SII', 'relationship': 'optimal cutoff value', 'entity2': '896.8'}, {'entity1': 'NLPR', 'relationship': 'optimal cutoff value', 'entity2': '0.031'}]"
2,"NLR>3.89 demonstrates the highest predictive capability with an AUC of 0.801 and a sensitivity of 72.73%. Multivariate analysis showed that NLR>3.89 (OR: 4.169, p = 0.004) and NLPR>0.031 (OR: 4.304, p = 0.005) were dominant in distinguishing ACC from CCC.","[{'entity1': 'NLR>3.89', 'relationship': 'predictive capability', 'entity2': 'AUC'}, {'entity1': 'NLR>3.89', 'relationship': 'predictive capability', 'entity2': 'sensitivity'}, {'entity1': 'NLR>3.89', 'relationship': 'distinguishing', 'entity2': 'ACC from CCC'}, {'entity1': 'NLR>3.89', 'relationship': 'dominant', 'entity2': 'distinguishing ACC from CCC'}, {'entity1': 'NLPR>0.031', 'relationship': 'dominant', 'entity2': 'distinguishing ACC from CCC'}]"
3,"In ACC patients, the levels of NLR, SII, and NLPR were significantly higher in the Moderate to Severe-degree ACC (MS-ACC) group than in","[{'entity1': 'NLR', 'relationship': 'higher in', 'entity2': 'Moderate to Severe-degree ACC group'}, {'entity1': 'SII', 'relationship': 'higher in', 'entity2': 'Moderate to Severe-degree ACC group'}, {'entity1': 'NLPR', 'relationship': 'higher in', 'entity2': 'Moderate to Severe-degree ACC group'}]"
4,"NLR>3.89 (OR: 4.169, p = 0.004) and NLPR>0.031 (OR: 4.304, p = 0.005) were dominant in distinguishing ACC from CCC. In ACC patients, the levels of NLR, SII, and NLPR were significantly higher in the Moderate to Severe-degree ACC (MS-ACC) group than in Mild-Degree ACC (M-ACC). NLPR > 0.044 exhibited the highest predictive ability with an AUC of 0.778 and a specificity of 91.67%. Multivariate analysis showed that NLR>6.399 (OR: 10.308, p = 0.000) was a possible independent prognostic factor for accessing the severity of ACC.","[{'entity1': 'NLR', 'relationship': 'distinguishing', 'entity2': 'ACC'}, {'entity1': 'NLPR', 'relationship': 'distinguishing', 'entity2': 'ACC'}, {'entity1': 'NLR', 'relationship': 'higher', 'entity2': 'MS-ACC'}, {'entity1': 'SII', 'relationship': 'higher', 'entity2': 'MS-ACC'}, {'entity1': 'NLPR', 'relationship': 'higher', 'entity2': 'MS-ACC'}, {'entity1': 'NLPR', 'relationship': 'predictive', 'entity2': 'ACC'}, {'entity1': 'NLR', 'relationship': 'prognostic factor', 'entity2': 'severity of ACC'}]"
5,"Conclusion: Systemic inflammation indexes can be useful in predicting the risk of ACC and MS-ACC. NLR demonstrates the best distinguishing power and sensitivity for distinguishing ACC from CCC, while NLPR shows the best predictive power and specificity for predicting the severity of ACC.","[{'entity1': 'Systemic inflammation indexes', 'relationship': 'predicting', 'entity2': 'risk of ACC'}, {'entity1': 'NLR', 'relationship': 'distinguishing power', 'entity2': 'ACC'}, {'entity1': 'NLR', 'relationship': 'sensitivity', 'entity2': 'ACC'}, {'entity1': 'NLPR', 'relationship': 'predictive power', 'entity2': 'severity of ACC'}]"
6,"Introduction Cholecystitis is a widespread issue characterized by inflammation of the gallbladder, often prompted by blockage of the cystic duct. Calculous cholecystitis (CC) accounts for 95% of cases and can be further classified as chronic calculous cholecystitis (CCC) or acute calculous cholecystitis (ACC) based on the severity of clinical manifestations and the rate of disease progression.","[{'entity1': 'Cholecystitis', 'relationship': 'characterized by', 'entity2': 'inflammation of gallbladder'}, {'entity1': 'CC', 'relationship': 'accounts for', 'entity2': '95% of cases'}, {'entity1': 'CC', 'relationship': 'classified as', 'entity2': 'CCC'}, {'entity1': 'CC', 'relationship': 'classified as', 'entity2': 'ACC'}]"
7,"ACC patients underwent further classification by the TG18 into three severity grades: Moderate ACC is related to any one of the following conditions: (1) elevated WBC count (>18,000/mm3); (2) palpable tender mass in the right upper abdominal quadrant; (3) the duration of complaints > 72 h; (4) marked local inflammation (gangrenous cholecystitis, pericholecystic","[{'entity1': 'ACC patients', 'relationship': 'classification', 'entity2': 'TG18'}, {'entity1': 'Moderate ACC', 'relationship': 'related to', 'entity2': 'elevated WBC count'}, {'entity1': 'Moderate ACC', 'relationship': 'related to', 'entity2': 'palpable tender mass'}, {'entity1': 'Moderate ACC', 'relationship': 'related to', 'entity2': 'duration of complaints'}, {'entity1': 'Moderate ACC', 'relationship': 'related to', 'entity2': 'marked local inflammation'}]"
8,The final confirmation of the diagnosis of both ACC and CCC was based on the pathological examination of postoperative gallbladder tissue specimens.,"[{'entity1': 'diagnosis', 'relationship': 'confirmation', 'entity2': 'ACC'}, {'entity1': 'diagnosis', 'relationship': 'confirmation', 'entity2': 'CCC'}, {'entity1': 'diagnosis', 'relationship': 'based on', 'entity2': 'pathological examination'}, {'entity1': 'pathological examination', 'relationship': 'of', 'entity2': 'postoperative gallbladder tissue specimens'}]"
9,"The research was carried out from June 2022 to September 2023, involving 250 patients who had undergone cholecystectomy due to ACC or CCC.","[{'entity1': 'research', 'relationship': 'carried out', 'entity2': 'June 2022 to September 2023'}, {'entity1': 'patients', 'relationship': 'undergone', 'entity2': 'cholecystectomy'}, {'entity1': 'patients', 'relationship': 'involving', 'entity2': '250'}, {'entity1': 'patients', 'relationship': 'involving', 'entity2': 'ACC or CCC'}]"
10,"Severe ACC is associated with dysfunction of any one of the following organs/systems: cardiovascular dysfunction, neurological dysfunction, respiratory dysfunction, renal dysfunction, hepatic dysfunction, hematological dysfunction. Mild ACC does not meet the criteria for Moderate or Severe ACC. Patients with Moderate- and severe-degree inflammations were grouped as the high-degree inflammation group and compared with the mild-degree inflammation group.","[{'entity1': 'Severe ACC', 'relationship': 'associated with', 'entity2': 'organ dysfunction'}, {'entity1': 'Mild ACC', 'relationship': 'criteria for', 'entity2': 'Moderate ACC'}, {'entity1': 'Patients', 'relationship': 'grouped as', 'entity2': 'high-degree inflammation group'}, {'entity1': 'Patients', 'relationship': 'grouped as', 'entity2': 'mild-degree inflammation group'}]"
