id,input,output
0,"Mitochondria are organelles with highly dynamic ultrastructure maintained by flexible fusion and fission rates governed by Guanosine Triphosphatases (GTPases) is crucial for maintaining cellular energy and metabolic homeostasis; however, dysfunction of the dynamics of fusion and fission causes loss of integrity and functions with the accumulation of damaged mitochondria and mitochondrial deoxyribose nucleic acid (mtDNA) that can halt energy production and induce oxidative stress.","[{'entity1': 'Mitochondria', 'relationship': 'maintained by', 'entity2': 'flexible fusion and fission rates'}, {'entity1': 'Mitochondria', 'relationship': 'dysfunction causes', 'entity2': 'loss of integrity and functions'}, {'entity1': 'Damaged mitochondria', 'relationship': 'accumulation of', 'entity2': 'mtDNA'}, {'entity1': 'Damaged mitochondria', 'relationship': 'accumulation of', 'entity2': 'oxidative stress'}]"
1,"Mitochondrial derived reactive oxygen species (ROS) can mediate redox signaling or, in excess, causing activation of inflammatory proteins and further exacerbate mitochondrial deterioration and oxidative stress.","[{'entity1': 'Mitochondrial derived reactive oxygen species', 'relationship': 'mediate', 'entity2': 'redox signaling'}, {'entity1': 'Mitochondrial derived reactive oxygen species', 'relationship': 'exacerbate', 'entity2': 'mitochondrial deterioration'}, {'entity1': 'Mitochondrial derived reactive oxygen species', 'relationship': 'exacerbate', 'entity2': 'oxidative stress'}]"
2,"Chronic inflammation due to oxidative damage is thought to trigger numerous chronic diseases including cardiac, liver and kidney disorders, neurodegenerative diseases (Parkinson’s disease and Alzheimer’s disease), cardiovascular diseases/atherosclerosis, obesity, insulin resistance, and type 2 diabetes mellitus.","[{'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'cardiac disorders'}, {'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'liver disorders'}, {'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'kidney disorders'}, {'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'neurodegenerative diseases'}, {'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'cardiovascular diseases'}, {'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'obesity'}, {'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'insulin resistance'}, {'entity1': 'Chronic inflammation', 'relationship': 'trigger', 'entity2': 'type 2 diabetes mellitus'}]"
3,"Mitochondria are one of the cell organelles that are characterized as round, bean-like, seen as an oval shape under the electron microscope. They contain a dynamic branched network that constantly fuses and divide under the control of specific fusion and fission machinery which is consistent with the endosymbiotic theory of bacterial ancestor evolution.","[{'entity1': 'Mitochondria', 'relationship': 'characterized as', 'entity2': 'cell organelles'}, {'entity1': 'Mitochondria', 'relationship': 'contain', 'entity2': 'dynamic branched network'}, {'entity1': 'Mitochondria', 'relationship': 'fuses and divide', 'entity2': 'under the control of specific fusion and fission machinery'}]"
4,Mitochondrial proteomics depict that around 1200 proteins are encoded in the nuclear genome with only 13 of them being coded in the maternally inherited mitochondrial genome.,"[{'entity1': 'Mitochondrial proteomics', 'relationship': 'depict', 'entity2': 'around 1200 proteins'}, {'entity1': '1200 proteins', 'relationship': 'encoded in', 'entity2': 'nuclear genome'}, {'entity1': '1200 proteins', 'relationship': 'coded in', 'entity2': 'maternally inherited mitochondrial genome'}]"
5,Bidirectional crosstalk between mitochondria and the nucleus is strictly controlled by different signaling pathways and with the dynamic fusion and fission nature of mitochondria.,"[{'entity1': 'Mitochondria', 'relationship': 'crosstalk with', 'entity2': 'nucleus'}, {'entity1': 'Crosstalk', 'relationship': 'controlled by', 'entity2': 'signaling pathways'}, {'entity1': 'Mitochondria', 'relationship': 'fusion and fission nature', 'entity2': 'dynamic'}]"
6,"Mitochondrial dysfunction is a condition characterized by loss of membrane potential to decrease Adenosine Triphosphate (ATP) production, decrease respiration or oxidative phosphorylation leading to a metabolic shift to the glycolysis dependent ATP generation that takes place outside mitochondria which increases the formation of mitochondrial reactive oxygen species (ROS).","[{'entity1': 'Mitochondrial dysfunction', 'relationship': 'characterized by', 'entity2': 'loss of membrane potential'}, {'entity1': 'Mitochondrial dysfunction', 'relationship': 'decrease', 'entity2': 'Adenosine Triphosphate production'}, {'entity1': 'Mitochondrial dysfunction', 'relationship': 'metabolic shift to', 'entity2': 'glycolysis dependent ATP generation'}]"
7,"Mitochondrial dysfunctions play a central role in chronic inflammation through activation of signaling pathways, including mitochondrial calcium handling ROS production and activation of nuclear factor kappa B (NF-kB).","[{'entity1': 'Mitochondrial dysfunctions', 'relationship': 'play a central role in', 'entity2': 'chronic inflammation'}, {'entity1': 'Mitochondrial dysfunctions', 'relationship': 'activation of', 'entity2': 'signaling pathways'}, {'entity1': 'Signaling pathways', 'relationship': 'include', 'entity2': 'mitochondrial calcium handling'}]"
8,"Oxidative stress due to ROS burst damages endothelial cells, which are recognized factors for atherosclerosis; decreased nitric oxide (NO) synthesis contributes to hypertension, upregulates the secretion of adhesion molecules and inflammatory cytokines, and is responsible for the oxidation of low-density lipoproteins.","[{'entity1': 'Oxidative stress', 'relationship': 'damages', 'entity2': 'Endothelial cells'}, {'entity1': 'Nitric oxide', 'relationship': 'contributes to', 'entity2': 'Hypertension'}, {'entity1': 'Nitric oxide', 'relationship': 'upregulates', 'entity2': 'Secretion of adhesion molecules and inflammatory cytokines'}, {'entity1': 'Nitric oxide', 'relationship': 'responsible for', 'entity2': 'Oxidation of low-density lipoproteins'}]"
9,"Muscle cell mitochondrial dysfunctions lead to a reduction in fatty acid oxidation and inhibition of glucose transport, which is an indication of insulin resistance, and further results in obesity.","[{'entity1': 'Muscle cell mitochondrial dysfunctions', 'relationship': 'lead to', 'entity2': 'Reduction in fatty acid oxidation'}, {'entity1': 'Muscle cell mitochondrial dysfunctions', 'relationship': 'inhibition of', 'entity2': 'Glucose transport'}, {'entity1': 'Insulin resistance', 'relationship': 'indication of', 'entity2': 'Obesity'}]"
